trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,0,-122.38541867454005,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,14,-12.873010240649528,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",25,13,-26.221726585534636,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,0,-241.91124496268813,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 5}",0
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",25,0,-88.46165390939768,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,0,-82.36996660787162,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",30,0,-141.84989574533432,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-80.02585033766155,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",30,13,2.8661844945562236,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.701874967355394}",25,0,-59.12797083840005,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
179,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,2,-58.12611812357649,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.002, 'e': 0.6990730750065257}",20,0,-30.565383746939872,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
181,False,"{'a': 0.002, 'e': 0.697676326071031}",30,17,2.565346239805538,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
